TITLE,AUTHOR,CLASS,PDF LINK
In AI we trust,Helga Nowotny,History of Ai,
Algospeak ,Adam Aleksic,Text as outcome,
The Work of Art in the Age of Mechanical,Walter Benjamin,Text as outcome,https://web.mit.edu/allanmc/www/benjamin.pdf
Reproduction,Marshall McLuhan,Text as outcome,
Patently Untrue: fleshy defibrillators and synchronised baseball are changing the future,Bruce Sterling,Text as outcome,
In the Flow,Boris Groys,History of Ai,
L'Intelligence artificielle ou l'enjeu du siècle,Éric Sadin,Text as outcome,
In Defense of the Poor Image,Hito Steyerl,Text as outcome,http://worker01.e-flux.com/pdf/article_94.pdf
"Says Who? A Kinder, Funner Usage Guide for Everyone Who Cares About Words",Anne Curzan,Text as outcome,
Technodiversity White Paper,Yuk Hui,History of Ai,https://www.technodiversity.org/white-paper
Context Rot: How Increasing Input Tokens Impacts LLM Performance,Chroma Report,Text as outcome,https://research.trychroma.com/context-rot
"Your Brain on ChatGPT: Accumulation o f Cognitive Debt when Using an AI
Assistant for Essay Writing Task ",MIT Research Team,Text as outcome,https://arxiv.org/pdf/2506.08872v1
